number,multiplier,addend,total,exponent,target
429,22.78125,146.84375,9920,6,155
429,34.171875,252.265625,14912,6,233
429,51.2578125,410.3984375,22400,7,175
429,76.88671875,679.59765625,33664,7,263
429,115.330078125,1083.396484375,50560,7,395
429,172.9951171875,1689.0947265625,75904,7,593
429,259.49267578125,2597.64208984375,113920,8,445
429,389.239013671875,4024.463134765625,171008,10,167
429,583.8585205078125,6548.6947021484375,257024,10,251
429,875.78778076171875,10335.04205322265625,386048,10,377
429,1313.681671142578125,16014.563079833984375,579584,11,283
429,1970.5225067138671875,25045.8446197509765625,870400,11,425
429,2955.78376007080078125,38592.76692962646484375,1306624,12,319
429,4433.675640106201171875,59937.150394439697265625,1961984,12,479
429,6650.5134601593017578125,91953.7255916595458984375,2945024,12,719
429,9975.77019023895263671875,139978.58838748931884765625,4419584,12,1079
429,14963.655285358428955078125,212015.882581233978271484375,6631424,12,1619
429,22445.4829280376434326171875,320071.8238718509674072265625,9949184,12,2429
429,33668.22439205646514892578125,482155.73580777645111083984375,14925824,14,911
429,50502.336588084697723388671875,731425.603711664676666259765625,22396928,14,1367
429,75753.5048821270465850830078125,1105330.4055674970149993896484375,33603584,14,2051
429,113630.25732319056987762451171875,1666187.60835124552249908447265625,50413568,14,3077
429,170445.385984785854816436767578125,2507473.412526868283748626708984375,75628544,17,577
429,255668.0789771787822246551513671875,3826746.1187903024256229400634765625,113508352,18,433
429,383502.11846576817333698272705078125,5871191.17818545363843441009521484375,170393600,19,325
429,575253.177698652260005474090576171875,9068930.767278180457651615142822265625,255852544,22,61
429,862879.7665479783900082111358642578125,15700548.1509172706864774227142333984375,385875968,24,23
429,1294319.64982196758501231670379638671875,31939430.22637590602971613407135009765625,587202560,24,35
429,1941479.474732951377518475055694580078125,56297753.339563859044574201107025146484375,889192448,24,53
429,2912219.2120994270662777125835418701171875,92835238.0093457885668613016605377197265625,1342177280,28,5
429,4368328.81814914059941656887531280517578125,273470585.01401868285029195249080657958984375,2147483648,31,1
63,3,1,190,1,95
63,4.5,2.5,286,1,143
63,6.75,4.75,430,1,215
63,10.125,8.125,646,1,323
63,15.1875,13.1875,970,1,485
63,22.78125,20.78125,1456,4,91
63,34.171875,39.171875,2192,4,137
63,51.2578125,66.7578125,3296,5,103
63,76.88671875,116.13671875,4960,5,155
63,115.330078125,190.205078125,7456,5,233
63,172.9951171875,301.3076171875,11200,6,175
63,259.49267578125,483.96142578125,16832,6,263
63,389.239013671875,757.942138671875,25280,6,395
63,583.8585205078125,1168.9132080078125,37952,6,593
63,875.78778076171875,1785.36981201171875,56960,7,445
63,1313.681671142578125,2742.054718017578125,85504,9,167
63,1970.5225067138671875,4369.0820770263671875,128512,9,251
63,2955.78376007080078125,6809.62311553955078125,193024,9,377
63,4433.675640106201171875,10470.434673309326171875,289792,10,283
